Adam using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.03
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000
updates=2, Epoch=0, minibatch=1, loss=0.17051, Wa=0.1300, Wb=1.7700
updates=3, Epoch=0, minibatch=2, loss=0.09828, Wa=0.1525, Wb=1.7464
updates=4, Epoch=0, minibatch=3, loss=0.20255, Wa=0.1726, Wb=1.7232
updates=5, Epoch=0, minibatch=4, loss=0.11785, Wa=0.1966, Wb=1.6997
updates=6, Epoch=0, minibatch=5, loss=0.14143, Wa=0.2182, Wb=1.6753
updates=7, Epoch=0, minibatch=6, loss=0.11879, Wa=0.2408, Wb=1.6530
updates=8, Epoch=0, minibatch=7, loss=0.17900, Wa=0.2625, Wb=1.6302
updates=9, Epoch=1, minibatch=0, loss=0.15409, Wa=0.2859, Wb=1.6072
updates=10, Epoch=1, minibatch=1, loss=0.14057, Wa=0.3099, Wb=1.5861
updates=11, Epoch=1, minibatch=2, loss=0.17827, Wa=0.3340, Wb=1.5646
updates=12, Epoch=1, minibatch=3, loss=0.09803, Wa=0.3598, Wb=1.5430
updates=13, Epoch=1, minibatch=4, loss=0.08570, Wa=0.3845, Wb=1.5217
updates=14, Epoch=1, minibatch=5, loss=0.05311, Wa=0.4075, Wb=1.5001
updates=15, Epoch=1, minibatch=6, loss=0.09897, Wa=0.4286, Wb=1.4789
updates=16, Epoch=1, minibatch=7, loss=0.10215, Wa=0.4488, Wb=1.4595
updates=17, Epoch=2, minibatch=0, loss=0.16735, Wa=0.4688, Wb=1.4413
updates=18, Epoch=2, minibatch=1, loss=0.10598, Wa=0.4793, Wb=1.4334
updates=19, Epoch=2, minibatch=2, loss=0.06159, Wa=0.4894, Wb=1.4265
updates=20, Epoch=2, minibatch=3, loss=0.07178, Wa=0.4988, Wb=1.4201
updates=21, Epoch=2, minibatch=4, loss=0.06854, Wa=0.5081, Wb=1.4134
updates=22, Epoch=2, minibatch=5, loss=0.12435, Wa=0.5169, Wb=1.4072
updates=23, Epoch=2, minibatch=6, loss=0.09193, Wa=0.5255, Wb=1.4020
updates=24, Epoch=2, minibatch=7, loss=0.11034, Wa=0.5340, Wb=1.3979
updates=25, Epoch=3, minibatch=0, loss=0.07297, Wa=0.5427, Wb=1.3938
updates=26, Epoch=3, minibatch=1, loss=0.11348, Wa=0.5509, Wb=1.3909
updates=27, Epoch=3, minibatch=2, loss=0.06548, Wa=0.5593, Wb=1.3882
updates=28, Epoch=3, minibatch=3, loss=0.07715, Wa=0.5672, Wb=1.3861
updates=29, Epoch=3, minibatch=4, loss=0.06170, Wa=0.5750, Wb=1.3842
updates=30, Epoch=3, minibatch=5, loss=0.04984, Wa=0.5823, Wb=1.3825
updates=31, Epoch=3, minibatch=6, loss=0.11403, Wa=0.5892, Wb=1.3808
updates=32, Epoch=3, minibatch=7, loss=0.11180, Wa=0.5962, Wb=1.3798
updates=33, Epoch=4, minibatch=0, loss=0.11179, Wa=0.6036, Wb=1.3794
updates=34, Epoch=4, minibatch=1, loss=0.07466, Wa=0.6112, Wb=1.3794
updates=35, Epoch=4, minibatch=2, loss=0.04043, Wa=0.6186, Wb=1.3795
updates=36, Epoch=4, minibatch=3, loss=0.05709, Wa=0.6255, Wb=1.3797
updates=37, Epoch=4, minibatch=4, loss=0.06221, Wa=0.6320, Wb=1.3799
updates=38, Epoch=4, minibatch=5, loss=0.09040, Wa=0.6383, Wb=1.3800
updates=39, Epoch=4, minibatch=6, loss=0.17019, Wa=0.6446, Wb=1.3804
updates=40, Epoch=4, minibatch=7, loss=0.05461, Wa=0.6537, Wb=1.3813
updates=41, Epoch=5, minibatch=0, loss=0.06839, Wa=0.6624, Wb=1.3826
updates=42, Epoch=5, minibatch=1, loss=0.05219, Wa=0.6706, Wb=1.3839
updates=43, Epoch=5, minibatch=2, loss=0.06604, Wa=0.6782, Wb=1.3858
updates=44, Epoch=5, minibatch=3, loss=0.06104, Wa=0.6857, Wb=1.3875
updates=45, Epoch=5, minibatch=4, loss=0.08720, Wa=0.6927, Wb=1.3887
updates=46, Epoch=5, minibatch=5, loss=0.11419, Wa=0.6996, Wb=1.3904
updates=47, Epoch=5, minibatch=6, loss=0.04633, Wa=0.7070, Wb=1.3921
updates=48, Epoch=5, minibatch=7, loss=0.05113, Wa=0.7142, Wb=1.3934
updates=49, Epoch=6, minibatch=0, loss=0.08746, Wa=0.7209, Wb=1.3943
updates=50, Epoch=6, minibatch=1, loss=0.07490, Wa=0.7276, Wb=1.3950
updates=51, Epoch=6, minibatch=2, loss=0.03804, Wa=0.7342, Wb=1.3959
updates=52, Epoch=6, minibatch=3, loss=0.03759, Wa=0.7403, Wb=1.3964
updates=53, Epoch=6, minibatch=4, loss=0.10319, Wa=0.7460, Wb=1.3961
updates=54, Epoch=6, minibatch=5, loss=0.05455, Wa=0.7520, Wb=1.3958
updates=55, Epoch=6, minibatch=6, loss=0.06497, Wa=0.7577, Wb=1.3954
updates=56, Epoch=6, minibatch=7, loss=0.06971, Wa=0.7632, Wb=1.3951
updates=57, Epoch=7, minibatch=0, loss=0.05568, Wa=0.7687, Wb=1.3949
updates=58, Epoch=7, minibatch=1, loss=0.07863, Wa=0.7744, Wb=1.3945
updates=59, Epoch=7, minibatch=2, loss=0.11093, Wa=0.7804, Wb=1.3939
updates=60, Epoch=7, minibatch=3, loss=0.04582, Wa=0.7867, Wb=1.3938
updates=61, Epoch=7, minibatch=4, loss=0.07189, Wa=0.7927, Wb=1.3934
updates=62, Epoch=7, minibatch=5, loss=0.04197, Wa=0.8026, Wb=1.3932
updates=63, Epoch=7, minibatch=6, loss=0.06208, Wa=0.8119, Wb=1.3924
updates=64, Epoch=7, minibatch=7, loss=0.02977, Wa=0.8207, Wb=1.3910
updates=65, Epoch=8, minibatch=0, loss=0.04843, Wa=0.8288, Wb=1.3895
updates=66, Epoch=8, minibatch=1, loss=0.06118, Wa=0.8364, Wb=1.3880
updates=67, Epoch=8, minibatch=2, loss=0.02437, Wa=0.8438, Wb=1.3864
updates=68, Epoch=8, minibatch=3, loss=0.06100, Wa=0.8505, Wb=1.3840
updates=69, Epoch=8, minibatch=4, loss=0.05405, Wa=0.8570, Wb=1.3816
updates=70, Epoch=8, minibatch=5, loss=0.06426, Wa=0.8632, Wb=1.3795
updates=71, Epoch=8, minibatch=6, loss=0.02969, Wa=0.8694, Wb=1.3771
updates=72, Epoch=8, minibatch=7, loss=0.04311, Wa=0.8752, Wb=1.3747
updates=73, Epoch=9, minibatch=0, loss=0.05112, Wa=0.8806, Wb=1.3728
updates=74, Epoch=9, minibatch=1, loss=0.02830, Wa=0.8859, Wb=1.3713
updates=75, Epoch=9, minibatch=2, loss=0.03744, Wa=0.8908, Wb=1.3694
updates=76, Epoch=9, minibatch=3, loss=0.06628, Wa=0.8954, Wb=1.3680
updates=77, Epoch=9, minibatch=4, loss=0.03701, Wa=0.9001, Wb=1.3667
updates=78, Epoch=9, minibatch=5, loss=0.02836, Wa=0.9046, Wb=1.3651
updates=79, Epoch=9, minibatch=6, loss=0.04257, Wa=0.9089, Wb=1.3633
updates=80, Epoch=9, minibatch=7, loss=0.05064, Wa=0.9130, Wb=1.3608
