SDG using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000
updates=2, Epoch=0, minibatch=1, loss=0.13974, Wa=0.1010, Wb=1.7911
updates=3, Epoch=0, minibatch=2, loss=0.20353, Wa=0.1146, Wb=1.7867
updates=4, Epoch=0, minibatch=3, loss=0.16305, Wa=0.2857, Wb=1.7848
updates=5, Epoch=0, minibatch=4, loss=0.13590, Wa=0.2936, Wb=1.7796
updates=6, Epoch=0, minibatch=5, loss=0.11679, Wa=0.2944, Wb=1.7745
updates=7, Epoch=0, minibatch=6, loss=0.16673, Wa=0.3023, Wb=1.7707
updates=8, Epoch=0, minibatch=7, loss=0.20777, Wa=0.3184, Wb=1.7659
updates=9, Epoch=1, minibatch=0, loss=0.21246, Wa=0.3780, Wb=1.7627
updates=10, Epoch=1, minibatch=1, loss=0.16242, Wa=0.5800, Wb=1.7602
updates=11, Epoch=1, minibatch=2, loss=0.14476, Wa=0.6000, Wb=1.7569
updates=12, Epoch=1, minibatch=3, loss=0.16787, Wa=0.6250, Wb=1.7536
updates=13, Epoch=1, minibatch=4, loss=0.16590, Wa=0.6424, Wb=1.7495
updates=14, Epoch=1, minibatch=5, loss=0.16511, Wa=0.6503, Wb=1.7437
updates=15, Epoch=1, minibatch=6, loss=0.13127, Wa=0.6560, Wb=1.7380
updates=16, Epoch=1, minibatch=7, loss=0.15866, Wa=0.6604, Wb=1.7336
updates=17, Epoch=2, minibatch=0, loss=0.10303, Wa=0.6665, Wb=1.7281
updates=18, Epoch=2, minibatch=1, loss=0.15380, Wa=0.6672, Wb=1.7239
updates=19, Epoch=2, minibatch=2, loss=0.14072, Wa=0.6806, Wb=1.7196
updates=20, Epoch=2, minibatch=3, loss=0.15169, Wa=0.6847, Wb=1.7144
updates=21, Epoch=2, minibatch=4, loss=0.14796, Wa=0.6940, Wb=1.7097
updates=22, Epoch=2, minibatch=5, loss=0.14097, Wa=0.7073, Wb=1.7060
updates=23, Epoch=2, minibatch=6, loss=0.10849, Wa=0.7195, Wb=1.7019
updates=24, Epoch=2, minibatch=7, loss=0.14698, Wa=0.7282, Wb=1.6983
updates=25, Epoch=3, minibatch=0, loss=0.09493, Wa=0.7480, Wb=1.6948
updates=26, Epoch=3, minibatch=1, loss=0.13447, Wa=0.7476, Wb=1.6904
updates=27, Epoch=3, minibatch=2, loss=0.13227, Wa=0.7583, Wb=1.6866
updates=28, Epoch=3, minibatch=3, loss=0.11860, Wa=0.7726, Wb=1.6829
updates=29, Epoch=3, minibatch=4, loss=0.11972, Wa=0.7765, Wb=1.6781
updates=30, Epoch=3, minibatch=5, loss=0.11410, Wa=0.7776, Wb=1.6730
updates=31, Epoch=3, minibatch=6, loss=0.11257, Wa=0.7816, Wb=1.6689
updates=32, Epoch=3, minibatch=7, loss=0.09223, Wa=0.7940, Wb=1.6658
updates=33, Epoch=4, minibatch=0, loss=0.10145, Wa=0.7977, Wb=1.6624
updates=34, Epoch=4, minibatch=1, loss=0.11081, Wa=0.8054, Wb=1.6592
updates=35, Epoch=4, minibatch=2, loss=0.11626, Wa=0.8110, Wb=1.6547
updates=36, Epoch=4, minibatch=3, loss=0.10671, Wa=0.8193, Wb=1.6509
updates=37, Epoch=4, minibatch=4, loss=0.11268, Wa=0.8283, Wb=1.6475
updates=38, Epoch=4, minibatch=5, loss=0.12336, Wa=0.8331, Wb=1.6431
updates=39, Epoch=4, minibatch=6, loss=0.09412, Wa=0.8503, Wb=1.6397
updates=40, Epoch=4, minibatch=7, loss=0.08490, Wa=0.8600, Wb=1.6366
updates=41, Epoch=5, minibatch=0, loss=0.09149, Wa=0.8613, Wb=1.6326
updates=42, Epoch=5, minibatch=1, loss=0.09139, Wa=0.8674, Wb=1.6295
updates=43, Epoch=5, minibatch=2, loss=0.08872, Wa=0.8764, Wb=1.6265
updates=44, Epoch=5, minibatch=3, loss=0.10537, Wa=0.8790, Wb=1.6224
updates=45, Epoch=5, minibatch=4, loss=0.07870, Wa=0.8878, Wb=1.6185
updates=46, Epoch=5, minibatch=5, loss=0.08149, Wa=0.9023, Wb=1.6159
updates=47, Epoch=5, minibatch=6, loss=0.09341, Wa=0.9081, Wb=1.6129
updates=48, Epoch=5, minibatch=7, loss=0.11151, Wa=0.9115, Wb=1.6086
updates=49, Epoch=6, minibatch=0, loss=0.08518, Wa=0.9221, Wb=1.6047
updates=50, Epoch=6, minibatch=1, loss=0.08693, Wa=0.9247, Wb=1.6005
updates=51, Epoch=6, minibatch=2, loss=0.07556, Wa=0.9319, Wb=1.5970
updates=52, Epoch=6, minibatch=3, loss=0.10075, Wa=0.9380, Wb=1.5942
updates=53, Epoch=6, minibatch=4, loss=0.08232, Wa=0.9533, Wb=1.5911
updates=54, Epoch=6, minibatch=5, loss=0.07474, Wa=0.9661, Wb=1.5883
updates=55, Epoch=6, minibatch=6, loss=0.06707, Wa=0.9691, Wb=1.5846
updates=56, Epoch=6, minibatch=7, loss=0.07144, Wa=0.9720, Wb=1.5814
updates=57, Epoch=7, minibatch=0, loss=0.07842, Wa=0.9759, Wb=1.5780
updates=58, Epoch=7, minibatch=1, loss=0.06425, Wa=0.9801, Wb=1.5744
updates=59, Epoch=7, minibatch=2, loss=0.06407, Wa=0.9815, Wb=1.5710
updates=60, Epoch=7, minibatch=3, loss=0.05929, Wa=0.9858, Wb=1.5682
updates=61, Epoch=7, minibatch=4, loss=0.07217, Wa=0.9850, Wb=1.5643
updates=62, Epoch=7, minibatch=5, loss=0.06745, Wa=0.9968, Wb=1.5622
updates=63, Epoch=7, minibatch=6, loss=0.06065, Wa=1.0005, Wb=1.5589
updates=64, Epoch=7, minibatch=7, loss=0.06905, Wa=1.0025, Wb=1.5557
updates=65, Epoch=8, minibatch=0, loss=0.05919, Wa=1.0121, Wb=1.5528
updates=66, Epoch=8, minibatch=1, loss=0.05969, Wa=1.0165, Wb=1.5501
updates=67, Epoch=8, minibatch=2, loss=0.07000, Wa=1.0252, Wb=1.5474
updates=68, Epoch=8, minibatch=3, loss=0.05735, Wa=1.0313, Wb=1.5442
updates=69, Epoch=8, minibatch=4, loss=0.06310, Wa=1.0331, Wb=1.5410
updates=70, Epoch=8, minibatch=5, loss=0.06424, Wa=1.0420, Wb=1.5385
updates=71, Epoch=8, minibatch=6, loss=0.05390, Wa=1.0465, Wb=1.5351
updates=72, Epoch=8, minibatch=7, loss=0.04371, Wa=1.0486, Wb=1.5317
updates=73, Epoch=9, minibatch=0, loss=0.04144, Wa=1.0496, Wb=1.5289
