SDG_w_Momentum using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=5e-05
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=1, Epoch=0, minibatch=0, loss=60.90100, Wa=0.1000, Wb=1.8000
update=2, Epoch=0, minibatch=1, loss=56.29484, Wa=0.1000, Wb=1.7997
update=3, Epoch=0, minibatch=2, loss=55.43178, Wa=0.1002, Wb=1.7994
update=4, Epoch=0, minibatch=3, loss=65.93938, Wa=0.1021, Wb=1.7990
update=5, Epoch=0, minibatch=4, loss=54.85895, Wa=0.1032, Wb=1.7985
update=6, Epoch=0, minibatch=5, loss=55.45376, Wa=0.1042, Wb=1.7980
update=7, Epoch=0, minibatch=6, loss=58.30914, Wa=0.1049, Wb=1.7974
update=8, Epoch=0, minibatch=7, loss=55.90677, Wa=0.1071, Wb=1.7967
update=9, Epoch=1, minibatch=0, loss=58.50856, Wa=0.1237, Wb=1.7961
update=10, Epoch=1, minibatch=1, loss=55.60435, Wa=0.1391, Wb=1.7954
update=11, Epoch=1, minibatch=2, loss=60.09427, Wa=0.1552, Wb=1.7947
update=12, Epoch=1, minibatch=3, loss=48.60214, Wa=0.1694, Wb=1.7939
update=13, Epoch=1, minibatch=4, loss=48.09359, Wa=0.1839, Wb=1.7931
update=14, Epoch=1, minibatch=5, loss=47.14098, Wa=0.2007, Wb=1.7919
update=15, Epoch=1, minibatch=6, loss=50.73396, Wa=0.2156, Wb=1.7906
update=16, Epoch=1, minibatch=7, loss=48.35258, Wa=0.2508, Wb=1.7891
update=17, Epoch=2, minibatch=0, loss=45.29945, Wa=0.2994, Wb=1.7874
update=18, Epoch=2, minibatch=1, loss=44.65989, Wa=0.3458, Wb=1.7856
update=19, Epoch=2, minibatch=2, loss=35.34710, Wa=0.3875, Wb=1.7836
update=20, Epoch=2, minibatch=3, loss=35.80542, Wa=0.4281, Wb=1.7813
update=21, Epoch=2, minibatch=4, loss=35.70407, Wa=0.4655, Wb=1.7784
update=22, Epoch=2, minibatch=5, loss=35.52591, Wa=0.4995, Wb=1.7752
update=23, Epoch=2, minibatch=6, loss=28.98168, Wa=0.5380, Wb=1.7719
update=24, Epoch=2, minibatch=7, loss=32.94242, Wa=0.5775, Wb=1.7684
update=25, Epoch=3, minibatch=0, loss=21.62164, Wa=0.6165, Wb=1.7646
update=26, Epoch=3, minibatch=1, loss=29.71356, Wa=0.6526, Wb=1.7607
update=27, Epoch=3, minibatch=2, loss=24.96607, Wa=0.6863, Wb=1.7564
update=28, Epoch=3, minibatch=3, loss=21.79666, Wa=0.7171, Wb=1.7517
update=29, Epoch=3, minibatch=4, loss=18.89114, Wa=0.7451, Wb=1.7465
update=30, Epoch=3, minibatch=5, loss=15.63464, Wa=0.7713, Wb=1.7406
update=31, Epoch=3, minibatch=6, loss=16.76846, Wa=0.7958, Wb=1.7343
update=32, Epoch=3, minibatch=7, loss=14.06679, Wa=0.8216, Wb=1.7278
update=33, Epoch=4, minibatch=0, loss=14.82718, Wa=0.8455, Wb=1.7211
update=34, Epoch=4, minibatch=1, loss=14.32286, Wa=0.8682, Wb=1.7140
update=35, Epoch=4, minibatch=2, loss=14.57447, Wa=0.8920, Wb=1.7066
update=36, Epoch=4, minibatch=3, loss=10.82288, Wa=0.9161, Wb=1.6988
update=37, Epoch=4, minibatch=4, loss=10.91047, Wa=0.9385, Wb=1.6908
update=38, Epoch=4, minibatch=5, loss=11.01520, Wa=0.9607, Wb=1.6825
update=39, Epoch=4, minibatch=6, loss=9.23134, Wa=0.9812, Wb=1.6739
update=40, Epoch=4, minibatch=7, loss=10.02962, Wa=1.0032, Wb=1.6652
update=41, Epoch=5, minibatch=0, loss=8.20675, Wa=1.0234, Wb=1.6560
update=42, Epoch=5, minibatch=1, loss=7.24113, Wa=1.0426, Wb=1.6467
update=43, Epoch=5, minibatch=2, loss=6.77178, Wa=1.0615, Wb=1.6373
update=44, Epoch=5, minibatch=3, loss=7.09460, Wa=1.0789, Wb=1.6275
update=45, Epoch=5, minibatch=4, loss=5.29726, Wa=1.0944, Wb=1.6172
update=46, Epoch=5, minibatch=5, loss=6.11160, Wa=1.1081, Wb=1.6068
update=47, Epoch=5, minibatch=6, loss=5.96780, Wa=1.1205, Wb=1.5962
update=48, Epoch=5, minibatch=7, loss=5.53794, Wa=1.1325, Wb=1.5856
update=49, Epoch=6, minibatch=0, loss=5.56087, Wa=1.1444, Wb=1.5750
update=50, Epoch=6, minibatch=1, loss=4.27439, Wa=1.1552, Wb=1.5641
update=51, Epoch=6, minibatch=2, loss=3.82368, Wa=1.1653, Wb=1.5533
update=52, Epoch=6, minibatch=3, loss=3.19377, Wa=1.1747, Wb=1.5426
update=53, Epoch=6, minibatch=4, loss=3.60599, Wa=1.1830, Wb=1.5319
update=54, Epoch=6, minibatch=5, loss=3.38012, Wa=1.1935, Wb=1.5214
update=55, Epoch=6, minibatch=6, loss=3.10867, Wa=1.2026, Wb=1.5108
update=56, Epoch=6, minibatch=7, loss=3.16515, Wa=1.2108, Wb=1.5003
update=57, Epoch=7, minibatch=0, loss=2.91185, Wa=1.2177, Wb=1.4897
update=58, Epoch=7, minibatch=1, loss=2.59492, Wa=1.2242, Wb=1.4791
update=59, Epoch=7, minibatch=2, loss=2.03623, Wa=1.2296, Wb=1.4685
update=60, Epoch=7, minibatch=3, loss=2.17511, Wa=1.2341, Wb=1.4581
update=61, Epoch=7, minibatch=4, loss=1.73104, Wa=1.2380, Wb=1.4478
update=62, Epoch=7, minibatch=5, loss=1.73784, Wa=1.2409, Wb=1.4378
update=63, Epoch=7, minibatch=6, loss=1.66463, Wa=1.2437, Wb=1.4279
update=64, Epoch=7, minibatch=7, loss=1.21325, Wa=1.2458, Wb=1.4182
update=65, Epoch=8, minibatch=0, loss=1.22295, Wa=1.2476, Wb=1.4089
update=66, Epoch=8, minibatch=1, loss=1.15442, Wa=1.2489, Wb=1.3997
update=67, Epoch=8, minibatch=2, loss=1.21062, Wa=1.2497, Wb=1.3908
update=68, Epoch=8, minibatch=3, loss=0.94695, Wa=1.2502, Wb=1.3821
update=69, Epoch=8, minibatch=4, loss=0.67089, Wa=1.2503, Wb=1.3737
update=70, Epoch=8, minibatch=5, loss=0.81703, Wa=1.2502, Wb=1.3656
update=71, Epoch=8, minibatch=6, loss=0.73795, Wa=1.2501, Wb=1.3578
update=72, Epoch=8, minibatch=7, loss=0.64347, Wa=1.2502, Wb=1.3502
update=73, Epoch=9, minibatch=0, loss=0.53257, Wa=1.2500, Wb=1.3429
update=74, Epoch=9, minibatch=1, loss=0.54214, Wa=1.2498, Wb=1.3359
update=75, Epoch=9, minibatch=2, loss=0.39054, Wa=1.2495, Wb=1.3291
update=76, Epoch=9, minibatch=3, loss=0.33493, Wa=1.2492, Wb=1.3226
update=77, Epoch=9, minibatch=4, loss=0.32926, Wa=1.2488, Wb=1.3165
update=78, Epoch=9, minibatch=5, loss=0.24816, Wa=1.2485, Wb=1.3107
update=79, Epoch=9, minibatch=6, loss=0.29005, Wa=1.2482, Wb=1.3051
update=80, Epoch=9, minibatch=7, loss=0.31048, Wa=1.2479, Wb=1.2999
update=81, Epoch=10, minibatch=0, loss=0.22518, Wa=1.2481, Wb=1.2948
update=82, Epoch=10, minibatch=1, loss=0.16252, Wa=1.2488, Wb=1.2900
update=83, Epoch=10, minibatch=2, loss=0.12994, Wa=1.2494, Wb=1.2856
update=84, Epoch=10, minibatch=3, loss=0.15422, Wa=1.2500, Wb=1.2813
update=85, Epoch=10, minibatch=4, loss=0.14571, Wa=1.2504, Wb=1.2773
update=86, Epoch=10, minibatch=5, loss=0.12457, Wa=1.2508, Wb=1.2735
update=87, Epoch=10, minibatch=6, loss=0.18745, Wa=1.2511, Wb=1.2700
update=88, Epoch=10, minibatch=7, loss=0.11439, Wa=1.2514, Wb=1.2666
update=89, Epoch=11, minibatch=0, loss=0.10559, Wa=1.2518, Wb=1.2634
update=90, Epoch=11, minibatch=1, loss=0.09996, Wa=1.2522, Wb=1.2605
update=91, Epoch=11, minibatch=2, loss=0.10813, Wa=1.2526, Wb=1.2577
update=92, Epoch=11, minibatch=3, loss=0.08870, Wa=1.2535, Wb=1.2552
update=93, Epoch=11, minibatch=4, loss=0.06401, Wa=1.2544, Wb=1.2528
update=94, Epoch=11, minibatch=5, loss=0.06251, Wa=1.2552, Wb=1.2505
update=95, Epoch=11, minibatch=6, loss=0.05295, Wa=1.2559, Wb=1.2484
update=96, Epoch=11, minibatch=7, loss=0.07169, Wa=1.2565, Wb=1.2465
update=97, Epoch=12, minibatch=0, loss=0.06670, Wa=1.2572, Wb=1.2448
update=98, Epoch=12, minibatch=1, loss=0.06262, Wa=1.2579, Wb=1.2431
update=99, Epoch=12, minibatch=2, loss=0.06544, Wa=1.2586, Wb=1.2416
update=100, Epoch=12, minibatch=3, loss=0.05036, Wa=1.2593, Wb=1.2402
update=101, Epoch=12, minibatch=4, loss=0.05634, Wa=1.2600, Wb=1.2389
update=102, Epoch=12, minibatch=5, loss=0.05436, Wa=1.2606, Wb=1.2377
update=103, Epoch=12, minibatch=6, loss=0.06420, Wa=1.2610, Wb=1.2366
update=104, Epoch=12, minibatch=7, loss=0.05622, Wa=1.2615, Wb=1.2356
update=105, Epoch=13, minibatch=0, loss=0.06228, Wa=1.2619, Wb=1.2347
update=106, Epoch=13, minibatch=1, loss=0.05969, Wa=1.2622, Wb=1.2339
update=107, Epoch=13, minibatch=2, loss=0.05744, Wa=1.2626, Wb=1.2332
update=108, Epoch=13, minibatch=3, loss=0.05765, Wa=1.2628, Wb=1.2325
update=109, Epoch=13, minibatch=4, loss=0.06359, Wa=1.2630, Wb=1.2319
update=110, Epoch=13, minibatch=5, loss=0.05075, Wa=1.2632, Wb=1.2313
update=111, Epoch=13, minibatch=6, loss=0.06228, Wa=1.2633, Wb=1.2308
update=112, Epoch=13, minibatch=7, loss=0.04523, Wa=1.2632, Wb=1.2303
update=113, Epoch=14, minibatch=0, loss=0.05026, Wa=1.2631, Wb=1.2299
update=114, Epoch=14, minibatch=1, loss=0.05757, Wa=1.2630, Wb=1.2296
update=115, Epoch=14, minibatch=2, loss=0.05677, Wa=1.2629, Wb=1.2293
update=116, Epoch=14, minibatch=3, loss=0.05790, Wa=1.2626, Wb=1.2290
update=117, Epoch=14, minibatch=4, loss=0.06242, Wa=1.2623, Wb=1.2288
update=118, Epoch=14, minibatch=5, loss=0.05557, Wa=1.2620, Wb=1.2286
update=119, Epoch=14, minibatch=6, loss=0.06465, Wa=1.2618, Wb=1.2285
update=120, Epoch=14, minibatch=7, loss=0.05259, Wa=1.2616, Wb=1.2283
update=121, Epoch=15, minibatch=0, loss=0.04408, Wa=1.2614, Wb=1.2282
update=122, Epoch=15, minibatch=1, loss=0.06314, Wa=1.2612, Wb=1.2282
update=123, Epoch=15, minibatch=2, loss=0.06235, Wa=1.2611, Wb=1.2282
update=124, Epoch=15, minibatch=3, loss=0.05332, Wa=1.2610, Wb=1.2282
update=125, Epoch=15, minibatch=4, loss=0.05258, Wa=1.2609, Wb=1.2282
update=126, Epoch=15, minibatch=5, loss=0.05877, Wa=1.2608, Wb=1.2282
update=127, Epoch=15, minibatch=6, loss=0.06069, Wa=1.2607, Wb=1.2282
update=128, Epoch=15, minibatch=7, loss=0.06132, Wa=1.2606, Wb=1.2282
update=129, Epoch=16, minibatch=0, loss=0.04658, Wa=1.2606, Wb=1.2283
update=130, Epoch=16, minibatch=1, loss=0.05707, Wa=1.2606, Wb=1.2284
update=131, Epoch=16, minibatch=2, loss=0.06506, Wa=1.2606, Wb=1.2284
update=132, Epoch=16, minibatch=3, loss=0.04949, Wa=1.2606, Wb=1.2285
update=133, Epoch=16, minibatch=4, loss=0.05608, Wa=1.2606, Wb=1.2287
update=134, Epoch=16, minibatch=5, loss=0.06453, Wa=1.2606, Wb=1.2288
update=135, Epoch=16, minibatch=6, loss=0.06639, Wa=1.2607, Wb=1.2289
update=136, Epoch=16, minibatch=7, loss=0.05109, Wa=1.2608, Wb=1.2291
update=137, Epoch=17, minibatch=0, loss=0.05310, Wa=1.2608, Wb=1.2292
update=138, Epoch=17, minibatch=1, loss=0.05854, Wa=1.2610, Wb=1.2293
update=139, Epoch=17, minibatch=2, loss=0.06400, Wa=1.2610, Wb=1.2295
update=140, Epoch=17, minibatch=3, loss=0.05075, Wa=1.2612, Wb=1.2296
update=141, Epoch=17, minibatch=4, loss=0.05355, Wa=1.2612, Wb=1.2298
update=142, Epoch=17, minibatch=5, loss=0.04848, Wa=1.2613, Wb=1.2299
update=143, Epoch=17, minibatch=6, loss=0.06192, Wa=1.2614, Wb=1.2300
update=144, Epoch=17, minibatch=7, loss=0.06288, Wa=1.2615, Wb=1.2301
update=145, Epoch=18, minibatch=0, loss=0.06569, Wa=1.2615, Wb=1.2303
update=146, Epoch=18, minibatch=1, loss=0.05251, Wa=1.2615, Wb=1.2303
update=147, Epoch=18, minibatch=2, loss=0.05773, Wa=1.2615, Wb=1.2304
update=148, Epoch=18, minibatch=3, loss=0.05347, Wa=1.2615, Wb=1.2305
update=149, Epoch=18, minibatch=4, loss=0.05509, Wa=1.2616, Wb=1.2306
update=150, Epoch=18, minibatch=5, loss=0.05136, Wa=1.2616, Wb=1.2307
update=151, Epoch=18, minibatch=6, loss=0.06367, Wa=1.2616, Wb=1.2308
update=152, Epoch=18, minibatch=7, loss=0.05135, Wa=1.2616, Wb=1.2309
update=153, Epoch=19, minibatch=0, loss=0.06453, Wa=1.2617, Wb=1.2310
update=154, Epoch=19, minibatch=1, loss=0.05740, Wa=1.2617, Wb=1.2311
update=155, Epoch=19, minibatch=2, loss=0.04846, Wa=1.2617, Wb=1.2311
