SDG_w_Momentum using torch built-in
nsamples=512, batch_size=64, epoch=100, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=1, Epoch=0, minibatch=0, loss=0.26047, Wa=0.1000, Wb=1.8000
updates=2, Epoch=0, minibatch=1, loss=0.13974, Wa=0.1010, Wb=1.7911
updates=3, Epoch=0, minibatch=2, loss=0.18840, Wa=0.1155, Wb=1.7787
updates=4, Epoch=0, minibatch=3, loss=0.17689, Wa=0.2716, Wb=1.7657
updates=5, Epoch=0, minibatch=4, loss=0.18477, Wa=0.4425, Wb=1.7494
updates=6, Epoch=0, minibatch=5, loss=0.15266, Wa=0.6247, Wb=1.7304
updates=7, Epoch=0, minibatch=6, loss=0.16325, Wa=0.7048, Wb=1.7210
updates=8, Epoch=0, minibatch=7, loss=0.12319, Wa=0.7893, Wb=1.7102
updates=9, Epoch=1, minibatch=0, loss=0.11068, Wa=0.8236, Wb=1.7048
updates=10, Epoch=1, minibatch=1, loss=0.10778, Wa=0.8546, Wb=1.6989
updates=11, Epoch=1, minibatch=2, loss=0.10504, Wa=0.8840, Wb=1.6929
updates=12, Epoch=1, minibatch=3, loss=0.10845, Wa=0.9131, Wb=1.6869
updates=13, Epoch=1, minibatch=4, loss=0.14133, Wa=0.9396, Wb=1.6805
updates=14, Epoch=1, minibatch=5, loss=0.11019, Wa=0.9657, Wb=1.6738
updates=15, Epoch=1, minibatch=6, loss=0.09902, Wa=0.9891, Wb=1.6668
updates=16, Epoch=1, minibatch=7, loss=0.11918, Wa=1.0103, Wb=1.6594
updates=17, Epoch=2, minibatch=0, loss=0.09056, Wa=1.0300, Wb=1.6518
updates=18, Epoch=2, minibatch=1, loss=0.09819, Wa=1.0478, Wb=1.6440
updates=19, Epoch=2, minibatch=2, loss=0.09858, Wa=1.0644, Wb=1.6361
updates=20, Epoch=2, minibatch=3, loss=0.09255, Wa=1.0794, Wb=1.6280
updates=21, Epoch=2, minibatch=4, loss=0.08231, Wa=1.0929, Wb=1.6197
updates=22, Epoch=2, minibatch=5, loss=0.07196, Wa=1.1052, Wb=1.6114
updates=23, Epoch=2, minibatch=6, loss=0.08210, Wa=1.1167, Wb=1.6032
updates=24, Epoch=2, minibatch=7, loss=0.06718, Wa=1.1272, Wb=1.5949
updates=25, Epoch=3, minibatch=0, loss=0.06520, Wa=1.1371, Wb=1.5867
updates=26, Epoch=3, minibatch=1, loss=0.06332, Wa=1.1461, Wb=1.5786
updates=27, Epoch=3, minibatch=2, loss=0.06722, Wa=1.1543, Wb=1.5705
updates=28, Epoch=3, minibatch=3, loss=0.05834, Wa=1.1617, Wb=1.5625
updates=29, Epoch=3, minibatch=4, loss=0.06883, Wa=1.1684, Wb=1.5545
updates=30, Epoch=3, minibatch=5, loss=0.06023, Wa=1.1746, Wb=1.5465
updates=31, Epoch=3, minibatch=6, loss=0.05371, Wa=1.1808, Wb=1.5385
updates=32, Epoch=3, minibatch=7, loss=0.05622, Wa=1.1863, Wb=1.5307
updates=33, Epoch=4, minibatch=0, loss=0.05071, Wa=1.1919, Wb=1.5228
updates=34, Epoch=4, minibatch=1, loss=0.04722, Wa=1.1969, Wb=1.5151
updates=35, Epoch=4, minibatch=2, loss=0.04235, Wa=1.2013, Wb=1.5074
updates=36, Epoch=4, minibatch=3, loss=0.04385, Wa=1.2052, Wb=1.4999
updates=37, Epoch=4, minibatch=4, loss=0.04312, Wa=1.2088, Wb=1.4925
updates=38, Epoch=4, minibatch=5, loss=0.03610, Wa=1.2121, Wb=1.4851
updates=39, Epoch=4, minibatch=6, loss=0.03481, Wa=1.2150, Wb=1.4779
updates=40, Epoch=4, minibatch=7, loss=0.03905, Wa=1.2177, Wb=1.4709
updates=41, Epoch=5, minibatch=0, loss=0.03069, Wa=1.2210, Wb=1.4639
updates=42, Epoch=5, minibatch=1, loss=0.03022, Wa=1.2239, Wb=1.4570
updates=43, Epoch=5, minibatch=2, loss=0.03202, Wa=1.2262, Wb=1.4503
updates=44, Epoch=5, minibatch=3, loss=0.03131, Wa=1.2280, Wb=1.4436
updates=45, Epoch=5, minibatch=4, loss=0.02529, Wa=1.2301, Wb=1.4370
updates=46, Epoch=5, minibatch=5, loss=0.02431, Wa=1.2319, Wb=1.4306
updates=47, Epoch=5, minibatch=6, loss=0.02428, Wa=1.2335, Wb=1.4243
updates=48, Epoch=5, minibatch=7, loss=0.01912, Wa=1.2348, Wb=1.4182
updates=49, Epoch=6, minibatch=0, loss=0.02322, Wa=1.2358, Wb=1.4122
updates=50, Epoch=6, minibatch=1, loss=0.01757, Wa=1.2367, Wb=1.4064
updates=51, Epoch=6, minibatch=2, loss=0.01751, Wa=1.2374, Wb=1.4007
updates=52, Epoch=6, minibatch=3, loss=0.01662, Wa=1.2395, Wb=1.3952
updates=53, Epoch=6, minibatch=4, loss=0.01450, Wa=1.2412, Wb=1.3899
updates=54, Epoch=6, minibatch=5, loss=0.01511, Wa=1.2426, Wb=1.3847
updates=55, Epoch=6, minibatch=6, loss=0.01465, Wa=1.2437, Wb=1.3796
updates=56, Epoch=6, minibatch=7, loss=0.01479, Wa=1.2447, Wb=1.3747
updates=57, Epoch=7, minibatch=0, loss=0.01360, Wa=1.2454, Wb=1.3699
updates=58, Epoch=7, minibatch=1, loss=0.01241, Wa=1.2461, Wb=1.3651
updates=59, Epoch=7, minibatch=2, loss=0.01039, Wa=1.2467, Wb=1.3605
updates=60, Epoch=7, minibatch=3, loss=0.01097, Wa=1.2471, Wb=1.3560
updates=61, Epoch=7, minibatch=4, loss=0.00948, Wa=1.2473, Wb=1.3517
updates=62, Epoch=7, minibatch=5, loss=0.00902, Wa=1.2474, Wb=1.3475
updates=63, Epoch=7, minibatch=6, loss=0.00934, Wa=1.2475, Wb=1.3434
updates=64, Epoch=7, minibatch=7, loss=0.00619, Wa=1.2479, Wb=1.3394
updates=65, Epoch=8, minibatch=0, loss=0.00691, Wa=1.2484, Wb=1.3356
updates=66, Epoch=8, minibatch=1, loss=0.00701, Wa=1.2489, Wb=1.3319
updates=67, Epoch=8, minibatch=2, loss=0.00741, Wa=1.2492, Wb=1.3284
updates=68, Epoch=8, minibatch=3, loss=0.00619, Wa=1.2494, Wb=1.3249
updates=69, Epoch=8, minibatch=4, loss=0.00412, Wa=1.2495, Wb=1.3216
updates=70, Epoch=8, minibatch=5, loss=0.00588, Wa=1.2496, Wb=1.3184
updates=71, Epoch=8, minibatch=6, loss=0.00552, Wa=1.2497, Wb=1.3152
updates=72, Epoch=8, minibatch=7, loss=0.00488, Wa=1.2499, Wb=1.3122
updates=73, Epoch=9, minibatch=0, loss=0.00436, Wa=1.2501, Wb=1.3093
updates=74, Epoch=9, minibatch=1, loss=0.00486, Wa=1.2503, Wb=1.3065
updates=75, Epoch=9, minibatch=2, loss=0.00357, Wa=1.2504, Wb=1.3037
updates=76, Epoch=9, minibatch=3, loss=0.00340, Wa=1.2505, Wb=1.3011
updates=77, Epoch=9, minibatch=4, loss=0.00300, Wa=1.2505, Wb=1.2986
updates=78, Epoch=9, minibatch=5, loss=0.00277, Wa=1.2505, Wb=1.2961
updates=79, Epoch=9, minibatch=6, loss=0.00345, Wa=1.2505, Wb=1.2938
updates=80, Epoch=9, minibatch=7, loss=0.00393, Wa=1.2505, Wb=1.2916
updates=81, Epoch=10, minibatch=0, loss=0.00288, Wa=1.2506, Wb=1.2893
updates=82, Epoch=10, minibatch=1, loss=0.00229, Wa=1.2508, Wb=1.2872
